label,left_up,mid_up,right_up,left_mid,right_mid,left_down,mid_down,right_down
0,-1,0,0,0,1,0,-1,0
0,0,1,0,0,-1,0,0,1
0,-1,1,0,0,0,0,0,0
0,0,0,-1,0,1,0,0,0
0,0,1,0,-1,0,0,0,0
0,-1,-1,1,0,1,0,-1,0
0,0,1,1,0,-1,0,0,1
0,-1,1,-1,0,0,0,0,0
0,0,0,0,0,0,0,1,0
0,-1,0,0,0,1,0,-1,0
0,0,1,0,0,-1,0,0,1
0,0,0,0,1,-1,1,0,0
0,0,-1,1,0,1,0,0,0
0,0,0,0,0,1,0,0,-1
0,0,-1,-1,0,1,0,0,0
0,0,0,-1,0,1,0,0,-1
0,0,0,0,0,0,-1,1,0
0,-1,1,-1,0,0,0,0,0
0,-1,1,-1,0,-1,0,0,0
0,0,1,-1,0,0,0,0,0
0,0,-1,0,0,1,0,0,-1
0,0,0,-1,1,-1,-1,-1,1
0,0,0,-1,0,1,0,0,0
0,0,0,0,0,-1,0,1,1
0,0,0,0,0,1,0,0,0
0,0,-1,-1,0,1,0,-1,0
0,0,0,0,1,0,0,0,0
0,-1,1,0,-1,0,0,0,0
0,0,0,0,1,0,0,-1,1
0,1,-1,0,-1,0,0,1,0
0,-1,0,0,0,1,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,0,0,0,-1,0,1,0
0,0,0,0,0,0,-1,1,0
0,0,0,0,0,-1,0,1,-1
0,0,0,0,0,0,-1,1,0
0,0,-1,0,1,-1,0,0,0
0,-1,1,0,0,0,0,0,0
0,-1,-1,-1,1,0,0,-1,0
0,1,1,1,-1,0,1,-1,0
0,1,-1,1,0,1,0,0,-1
0,-1,0,1,1,0,-1,0,0
0,1,0,-1,0,1,0,0,-1
0,0,1,-1,0,0,0,0,0
0,0,-1,0,0,1,0,0,-1
0,-1,0,-1,0,1,0,0,0
0,-1,-1,-1,0,1,0,0,-1
0,0,-1,-1,0,1,0,0,-1
0,-1,0,-1,0,1,0,0,-1
1,0,0,-1,0,0,0,0,0
1,0,0,0,0,0,0,0,-1
1,0,0,-1,0,0,0,0,0
1,-1,0,0,0,0,0,0,0
1,0,0,0,0,0,-1,0,0
1,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,0,0,-1
1,1,-1,0,0,0,1,0,0
1,0,0,1,-1,0,0,0,0
1,1,0,1,-1,0,0,0,0
1,0,0,0,0,-1,1,0,1
1,-1,0,0,0,0,0,0,0
1,-1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0
1,-1,0,0,0,0,0,0,0
1,0,0,1,-1,0,0,0,0
1,0,0,0,0,0,-1,0,0
1,0,0,1,0,0,0,0,0
1,-1,0,0,0,0,1,0,0
1,-1,0,-1,0,0,0,0,1
1,0,0,0,0,0,0,0,-1
1,0,0,0,0,0,1,0,0
1,-1,0,0,0,0,1,0,0
